CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD
8393003,HUALQUI,8,DEL BIOBIO,HUALQUI,365918,725642,682884,5904448,29
8394001,RIO BIOBIO EN DESEMBOCADURA,8,DEL BIOBIO,CONCEPCION,365016,730341,672852,5921362,16
8394006,CERRO VERDE,8,DEL BIOBIO,CONCEPCION,364858,730420,671955,5923726,10
8394011,FARO PUNTA HUALPEN,8,DEL BIOBIO,CONCEPCION,364450,731125,661561,5931641,40
8400001,ISLA SANTA MARIA,8,DEL BIOBIO,CORONEL,370137,733141,630925,5901125,0
8410001,CONCEPCION DGA.,8,DEL BIOBIO,CONCEPCION,364960,730602,669387,5921946,28
8410002,CONCEPCION EDIF. MOP,8,DEL BIOBIO,CONCEPCION,364902,730200,675421,5923532,30
8410005,CORONEL,8,DEL BIOBIO,CORONEL,365921,730704,667504,5904673,18
8420001,LOTA,8,DEL BIOBIO,LOTA,370542,730902,664359,5892988,56
8500001,BAJO LOS RIOS,8,DEL BIOBIO,CURANILAHUE,372708,730318,672036,5853183,388
8520000,CARAMPANGUE,8,DEL BIOBIO,ARAUCO,371521,731433,655867,5875292,10
8520002,LOS QUINQUES,8,DEL BIOBIO,CURANILAHUE,371951,730159,674258,5866611,721
8530005,RIO CARAMPANGUE A. ABAJO B.T. PLANTA ARAUC0,8,DEL BIOBIO,ARAUCO,371519,731522,654650,5875383,12
8600004,PUNTA LAVAPIE,8,DEL BIOBIO,CABRERO,370856,733506,625658,5887673,11
8700001,CURANILAHUE,8,DEL BIOBIO,CURANILAHUE,372906,731954,647496,5850012,146
8700002,RIO CURANILAHUE EN CURANILAHUE,8,DEL BIOBIO,CURANILAHUE,372850,732013,647022,5850498,149
8700003,ESTERO PLEGARIAS ANTES DE JTA RIO CURANILAHUE,8,DEL BIOBIO,CURANILAHUE,372916,732038,646395,5849724,149
8821002,RIO BUTAMALAL EN BUTAMALAL,8,DEL BIOBIO,CAGNETE,374910,731451,654253,5812760,51
8821005,CA—ETE,8,DEL BIOBIO,CAGNETE,374751,732329,641629,5815423,78
8821006,RIO LEIVA EN PUENTE CAMINO A CONTULMO,8,DEL BIOBIO,CAGNETE,374846,732332,641512,5813725,48
8822008,CONTULMO,8,DEL BIOBIO,CAGNETE,380106,731349,655354,5790665,41
8822033,MANTOS BLANCO TRES MARIAS,8,DEL BIOBIO,CONTULMO,375202,731212,658032,5807395,753
8920007,ESCUELA ANA MARIA TRANAQUEPE,8,DEL BIOBIO,TIRUA,381124,732521,638146,5771927,30
8930000,TIRUA,8,DEL BIOBIO,TIRUA,382041,732933,631737,5754866,10
8930001,ALTO QUILANTAHUE,8,DEL BIOBIO,TIRUA,382705,732833,632996,5743000,490
8930002,LOS MAQUIS,8,DEL BIOBIO,TIRUA,382505,731951,645717,5746480,300
9101001,RIO PUREN EN TRANAMAN,9,DE LA ARAUCANIA,PUREN,380110,730044,674476,5790171,90
9101003,TRANAMAN,9,DE LA ARAUCANIA,PUREN,380117,730023,674981,5789933,78
9102003,LUMACO,9,DE LA ARAUCANIA,LUMACO,380949,725408,683790,5773967,60
9104003,LAS MERCEDES (VICTORIA),9,DE LA ARAUCANIA,VICTORIA,381446,721344,742508,5763242,421
9104006,PAILAHUEQUE,9,DE LA ARAUCANIA,ERCILLA,380736,721908,735009,5776734,376
9105002,TRAIGUEN,9,DE LA ARAUCANIA,TRAIGUEN,381522,723913,705308,5763168,234
9111002,QUILLEN,9,DE LA ARAUCANIA,PERQUENCO,382751,722312,728005,5739450,285
9112000,PERQUENCO,9,DE LA ARAUCANIA,LAUTARO,382507,722238,728966,5744488,290
9113003,GALVARINO,9,DE LA ARAUCANIA,GALVARINO,382437,724702,693503,5746346,40
9114001,LA CABA—A,9,DE LA ARAUCANIA,GALVARINO,383231,730607,665411,5732358,625
9116001,RIO CHOLCHOL EN CHOLCHOL,9,DE LA ARAUCANIA,NUEVA IMPERIAL,383628,725051,687429,5724557,20
9116002,CHOLCHOL,9,DE LA ARAUCANIA,NUEVA IMPERIAL,383614,725044,687611,5724905,20
9120002,MANZANAR,9,DE LA ARAUCANIA,CURACAUTIN,382747,714157,264487,5739282,790
9120003,MALALCAHUELLO,9,DE LA ARAUCANIA,CURACAUTIN,382815,713416,275698,5738799,950
9122001,CURACAUTIN,9,DE LA ARAUCANIA,CURACAUTIN,382651,715346,247258,5740563,535
9122003,TOLHUACA,9,DE LA ARAUCANIA,CURACAUTIN,381409,714311,261950,5764449,1350
9123001,RIO CAUTIN EN RARI-RUCA,9,DE LA ARAUCANIA,VICTORIA,382548,720037,760964,5742237,425
9123002,RARI-RUCA,9,DE LA ARAUCANIA,CURACAUTIN,382530,720039,760947,5742801,440
9124001,LAUTARO,9,DE LA ARAUCANIA,LAUTARO,383131,722637,722862,5732790,200
9129002,RIO CAUTIN EN CAJON,9,DE LA ARAUCANIA,TEMUCO,384112,723010,717215,5715036,130
9129004,CERRO —IELOL,9,DE LA ARAUCANIA,TEMUCO,384342,723534,709263,5710546,175
9129005,PUEBLO NUEVO (TEMUCO),9,DE LA ARAUCANIA,TEMUCO,384246,723322,712497,5712269,119
9129006,TEMUCO CENTRO,9,DE LA ARAUCANIA,TEMUCO,384433,723523,709476,5709035,122
9129016,BOROA,9,DE LA ARAUCANIA,NUEVA IMPERIAL,384608,725240,684372,5706730,41
9130001,CHERQUENCO,9,DE LA ARAUCANIA,VILCUN,384057,720008,760775,5714193,500
9131002,VILCUN,9,DE LA ARAUCANIA,VILCUN,384026,721316,741760,5715756,290
9132002,PADRE LAS CASAS,9,DE LA ARAUCANIA,PADRE LAS CASAS,385009,722843,718850,5698420,117
